Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius
Rotary_9N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Position (rev),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Z Position (mm),XYZ.Y Position (mm),,DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step)
4,21.188,4,8.99231,1.50678,nan,167.6925,477.0763,0,-115.3828,-9.33,,nan,nan,nan
4,21.288,4,8.994028,1.501588,nan,168.45,477.6212,0,-115.3827,-9.33,,nan,nan,nan
4,21.388,4,8.989616,1.477745,nan,169.4212,477.5137,0,-115.3823,-9.33,,nan,nan,nan
4,21.488,4,8.988037,1.482334,nan,170.2025,477.5438,0,-115.3822,-9.33,,nan,nan,nan
4,21.588,4,8.982694,1.565799,nan,170.9575,477.7187,0,-115.3821,-9.33,,nan,nan,nan
4,21.688,4,8.982155,1.540031,nan,171.9688,477.5438,0,-115.3821,-9.33,,nan,nan,nan
4,21.788,4,8.988707,1.514659,nan,172.5425,477.435,0,-115.3822,-9.33,,nan,nan,nan
4,21.888,4,8.989217,1.498304,nan,173.31,476.9513,0,-115.3825,-9.33,,nan,nan,nan
4,21.988,4,8.989892,1.471835,nan,174.0762,477.6913,0,-115.3827,-9.33,,nan,nan,nan
4,22.088,4,8.983313,1.564533,nan,174.8313,477.7437,0,-115.3826,-9.33,,nan,nan,nan
4,22.188,4,8.978442,1.542525,nan,175.79,477.335,0,-115.3825,-9.33,,nan,nan,nan
4,22.288,4,8.984284,1.552595,nan,176.565,477.2925,0,-115.3827,-9.33,,nan,nan,nan
4,22.388,4,8.983071,1.537602,nan,177.34,477.6225,0,-115.3827,-9.33,,nan,nan,nan
4,22.488,4,8.988521,1.492992,nan,178.1113,477.655,0,-115.3827,-9.33,,nan,nan,nan
4,22.588,4,8.985443,1.56906,nan,178.9437,477.7725,0,-115.3826,-9.33,,nan,nan,nan
4,22.688,4,8.986251,1.507547,nan,179.7175,476.7662,0,-115.3826,-9.33,,nan,nan,nan
4,22.788,4,8.989845,1.510544,nan,180.4737,477.73,0,-115.3827,-9.33,,nan,nan,nan
