Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_3N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),
4,27.544,4,2.99164,0.4792626,0.1602006,118.9737,0,-9.33,-114.6076,
4,27.644,4,3.004851,0.5075834,0.1689214,119.05,0,-9.33,-114.6077,
4,27.744,4,2.995572,0.5019362,0.1675594,119.1212,0,-9.33,-114.6077,
4,27.844,4,2.988627,0.4819742,0.1612694,119.9425,0,-9.33,-114.6074,
4,27.944,4,2.999847,0.5223722,0.1741329,119.405,0,-9.33,-114.6073,
4,28.044,4,2.989463,0.4872091,0.1629754,119.2175,0,-9.33,-114.6072,
4,28.144,4,3.003232,0.5124286,0.1706257,119.23,0,-9.33,-114.6073,
4,28.244,4,2.995949,0.4993739,0.166683,119.0725,0,-9.33,-114.6075,
4,28.344,4,2.988045,0.4890958,0.1636842,119.8475,0,-9.33,-114.6075,
4,28.444,4,2.999974,0.522723,0.1742425,119.0825,0,-9.33,-114.6072,
4,28.544,4,2.992138,0.4871474,0.1628091,119.0025,0,-9.33,-114.6073,
4,28.644,4,3.002526,0.5120811,0.1705501,118.9,0,-9.33,-114.6073,
4,28.744,4,2.996689,0.5028844,0.1678133,119.3688,0,-9.33,-114.6075,
4,28.844,4,2.990841,0.479714,0.1603944,119.9725,0,-9.33,-114.6075,
4,28.944,4,3.001739,0.5139322,0.1712115,119.165,0,-9.33,-114.6075,
4,29.044,4,2.992559,0.4821885,0.1611291,119.2813,0,-9.33,-114.6077,
